YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
2011,US-TOTAL,Total Electric Power Industry,Geothermal (Billion Btu),148810.93
2012,US-Total,Total Electric Power Industry,Geothermal (Billion Btu),148092
2013,US-Total,Total Electric Power Industry,Geothermal (Billion Btu),150506.16
2014,US-Total,Total Electric Power Industry,Geothermal (Billion Btu),150989.71
2015,US-Total,Total Electric Power Industry,Geothermal (Billion Btu),148336
2016,US-Total,Total Electric Power Industry,Geothermal (Billion Btu),146120
